basis_set,xc,mae,maxe
aug-cc-pVTZ,NN-PBE,189170.565297386,336301.9296691836
aug-cc-pVTZ,M06-2X,0.26755279128305554,1.2653450575584806
aug-cc-pVTZ,DM21,0.955995256024392,4.109481252402615
aug-cc-pVTZ,PBE0,1.2059624851519881,3.699194435167356
aug-cc-pVTZ,PBE-2X,0.2739791462075368,0.7911024364244557
aug-cc-pVTZ,PBE,9.46316226352488,17.76907650922892
aug-cc-pVTZ,LDA,10.231748290505115,17.689726676730228
aug-cc-pVTZ,M06-L,4.761627898485813,11.250928049810415
aug-cc-pVTZ,TPSS,6.81252591470361,14.5664839078635
aug-cc-pVTZ,r2SCAN,4.323082282889544,10.45028715612441
aug-cc-pVTZ,SCAN,4.404269724702569,10.198300374554538
aug-cc-pVTZ,SCAN0,0.19167770742522872,0.8130293308536878
aug-cc-pVTZ,M05-2X,0.28610134501400103,1.5345927517516271
aug-cc-pVTZ,B3LYP,3.0462977706186973,7.183641122664176
aug-cc-pVTZ,piM06-2X-DL,0.4345784824036423,1.125081795246608
aug-cc-pVTZ,piM06-2X,0.25098300828569614,0.6773869822519565
